Rank,Change,Name,Position,College,Conference,State,Region,Height,Weight,CollegeClass,PositionGroup,PositionAspect,ProspectStatus,Date,Points
1,--,Chase Young,EDGE,Ohio State,Big Ten,Ohio,Midwest,77,265,JR,DL,Def.,Underclassman,2020-01-18,35
2,--,Joe Burrow,QB,LSU,SEC,Louisiana,South,75,221,SR,QB,Off.,Eligible,2020-01-18,35
3,--,Isaiah Simmons,OLB,Clemson,ACC,South Carolina,South,76,238,RJR,LB,Def.,Underclassman,2020-01-18,35
4,--,Tua Tagovailoa,QB,Alabama,SEC,Alabama,South,72,217,JR,QB,Off.,Underclassman,2020-01-18,35
5,--,Derrick Brown,DL1T,Auburn,SEC,Alabama,South,77,326,SR,DL,Def.,Eligible,2020-01-18,35
6,--,Jeffrey Okudah,CB,Ohio State,Big Ten,Ohio,Midwest,73,205,JR,DB,Def.,Underclassman,2020-01-18,35
7,--,Tristan Wirfs,OT,Iowa,Big Ten,Iowa,Midwest,77,320,JR,OL,Off.,Underclassman,2020-01-18,35
8,--,Javon Kinlaw,DL3T,South Carolina,SEC,South Carolina,South,77,324,SR,DL,Def.,Eligible,2020-01-18,35
9,--,CeeDee Lamb,WR,Oklahoma,Big 12,Oklahoma,South,74,198,JR,WR,Off.,Underclassman,2020-01-18,35
10,--,Jerry Jeudy,WR,Alabama,SEC,Alabama,South,73,193,JR,WR,Off.,Underclassman,2020-01-18,35
11,--,Mekhi Becton,OT,Louisville,ACC,Kentucky,South,79,364,JR,OL,Off.,Underclassman,2020-01-18,30
12,--,Justin Herbert,QB,Oregon,Pac 12,Oregon,West,78,236,SR,QB,Off.,Eligible,2020-01-18,30
13,--,Andrew Thomas,OT,Georgia,SEC,Georgia,South,77,315,JR,OL,Off.,Underclassman,2020-01-18,30
14,--,Henry Ruggs III,WR,Alabama,SEC,Alabama,South,71,188,JR,WR,Off.,Underclassman,2020-01-18,30
15,--,K'Lavon Chaisson,OLB,LSU,SEC,Louisiana,South,75,254,RSO,LB,Def.,Underclassman,2020-01-18,30
16,--,Jedrick Wills,OT,Alabama,SEC,Alabama,South,76,312,JR,OL,Off.,Underclassman,2020-01-18,30
17,--,Jordan Love,QB,Utah State,FBS - Mountain West,Utah,West,76,224,JR,QB,Off.,Underclassman,2020-01-18,30
18,--,C.J. Henderson,CB,Florida,SEC,Florida,South,73,204,JR,DB,Def.,Underclassman,2020-01-18,30
19,--,Xavier McKinney,S,Alabama,SEC,Alabama,South,72,201,JR,DB,Def.,Underclassman,2020-01-18,30
20,--,Tee Higgins,WR,Clemson,ACC,South Carolina,South,76,216,JR,WR,Off.,Underclassman,2020-01-18,30
21,--,Patrick Queen,OLB,LSU,SEC,Louisiana,South,72,229,JR,LB,Def.,Underclassman,2020-01-18,30
22,--,Trevon Diggs,CB,Alabama,SEC,Alabama,South,73,205,JR,DB,Def.,Underclassman,2020-01-18,30
23,--,A.J. Epenesa,DL5T,Iowa,Big Ten,Iowa,Midwest,77,275,JR,DL,Def.,Underclassman,2020-01-18,30
24,--,Justin Jefferson,WR,LSU,SEC,Louisiana,South,73,202,JR,WR,Off.,Underclassman,2020-01-18,30
25,--,Yetur Gross-Matos,EDGE,Penn State,Big Ten,Pennsylvania,Northeast,77,266,JR,DL,Def.,Underclassman,2020-01-18,30
26,--,Kenneth Murray,ILB,Oklahoma,Big 12,Oklahoma,South,74,241,JR,LB,Def.,Underclassman,2020-01-18,25
27,--,Netane Muti,OG,Fresno State,FBS - Mountain West,California,West,75,315,RJR,OL,Off.,Underclassman,2020-01-18,25
28,--,Josh Jones,OT,Houston,FBS - AAC,Texas,South,77,319,SR,OL,Off.,Eligible,2020-01-18,25
29,--,D'Andre Swift,RB,Georgia,SEC,Georgia,South,68,212,JR,RB,Off.,Underclassman,2020-01-18,25
30,--,Kristian Fulton,CB,LSU,SEC,Louisiana,South,72,197,SR,DB,Def.,Eligible,2020-01-18,25
31,--,Justin Madubuike,DL3T,Texas A&M,SEC,Texas,South,75,293,RJR,DL,Def.,Underclassman,2020-01-18,25
32,--,Antoine Winfield Jr.,S,Minnesota,Big Ten,Minnesota,Midwest,69,203,RSO,DB,Def.,Underclassman,2020-01-18,25
33,--,Laviska Shenault,WR,Colorado,Pac 12,Colorado,West,73,227,JR,WR,Off.,Underclassman,2020-01-18,25
34,--,Ross Blacklock,DL3T,TCU,Big 12,Texas,South,75,290,JR,DL,Def.,Underclassman,2020-01-18,25
35,--,Cesar Ruiz,OC,Michigan,Big Ten,Michigan,Midwest,75,307,JR,OL,Off.,Underclassman,2020-01-18,25
36,--,Grant Delpit,S,LSU,SEC,Louisiana,South,74,213,JR,DB,Def.,Underclassman,2020-01-18,20
37,--,Austin Jackson,OT,USC,Pac 12,California,West,77,322,JR,OL,Off.,Underclassman,2020-01-18,20
38,--,A.J. Terrell,CB,Clemson,ACC,South Carolina,South,73,195,JR,DB,Def.,Underclassman,2020-01-18,20
39,--,Zack Baun,OLB,Wisconsin,Big Ten,Wisconsin,Midwest,74,238,SR,LB,Def.,Eligible,2020-01-18,20
40,--,Denzel Mims,WR,Baylor,Big 12,Texas,South,75,207,SR,WR,Off.,Eligible,2020-01-18,20
41,--,Jonathan Taylor,RB,Wisconsin,Big Ten,Wisconsin,Midwest,71,226,JR,RB,Off.,Underclassman,2020-01-18,20
42,--,Jalen Reagor,WRS,TCU,Big 12,Texas,South,71,206,JR,WR,Off.,Underclassman,2020-01-18,20
43,--,Neville Gallimore,DL3T,Oklahoma,Big 12,Oklahoma,South,74,304,RSR,DL,Def.,Eligible,2020-01-18,20
44,--,Kyle Dugger,S,Lenoirâ€“Rhyne,D2,North Carolina,South,73,217,SR,DB,Def.,Eligible,2020-01-18,20
45,--,Lloyd Cushenberry,OC,LSU,SEC,Louisiana,South,75,312,RJR,OL,Off.,Underclassman,2020-01-18,20
46,--,Jaylon Johnson,CB,Utah,Pac 12,Utah,West,72,193,JR,DB,Def.,Underclassman,2020-01-18,20
47,--,Terrell Lewis,EDGE,Alabama,SEC,Alabama,South,77,262,RJR,DL,Def.,Underclassman,2020-01-18,20
48,--,Jacob Eason,QB,Washington,Pac 12,Washington,West,78,231,JR,QB,Off.,Underclassman,2020-01-18,20
49,--,Malik Harrison,ILB,Ohio State,Big Ten,Ohio,Midwest,75,247,SR,LB,Def.,Eligible,2020-01-18,20
50,--,Hunter Bryant,TE,Washington,Pac 12,Washington,West,74,248,SR,TE,Off.,Eligible,2020-01-18,20
51,--,Brandon Aiyuk,WR,Arizona State,Pac 12,Arizona,West,72,205,SR,WR,Off.,Eligible,2020-01-18,20
52,--,Jordan Elliott,DL3T,Missouri,SEC,Missouri,Midwest,76,302,RJR,DL,Def.,Underclassman,2020-01-18,20
54,--,J.K. Dobbins,RB,Ohio State,Big Ten,Ohio,Midwest,69,209,JR,RB,Off.,Underclassman,2020-01-18,20
55,--,James Lynch,DL5T,Baylor,Big 12,Texas,South,76,295,JR,DL,Def.,Underclassman,2020-01-18,20
56,--,Jeff Gladney,CB,TCU,Big 12,Texas,South,70,191,SR,DB,Def.,Eligible,2020-01-18,20
57,--,Jabari Zuniga,EDGE,Florida,SEC,Florida,South,75,264,RSR,DL,Def.,Eligible,2020-01-18,20
58,--,K.J. Hamler,WRS,Penn State,Big Ten,Pennsylvania,Northeast,69,178,JR,WR,Off.,Underclassman,2020-01-18,20
59,--,Bryce Hall,CB,Virginia,ACC,Virginia,South,73,202,SR,DB,Def.,Eligible,2020-01-18,20
60,--,Jake Fromm,QB,Georgia,SEC,Georgia,South,74,219,JR,QB,Off.,Underclassman,2020-01-18,15
62,--,Noah Igbinoghene,CB,Auburn,SEC,Alabama,South,71,200,JR,DB,Def.,Underclassman,2020-01-18,15
63,--,Troy Dye,ILB,Oregon,Pac 12,Oregon,West,75,231,SR,LB,Def.,Eligible,2020-01-18,15
64,--,Shane Lemieux,OG,Oregon,Pac 12,Oregon,West,76,310,SR,OL,Off.,Eligible,2020-01-18,15
65,--,Marlon Davidson,DL5T,Auburn,SEC,Alabama,South,75,303,SR,DL,Def.,Eligible,2020-01-18,15
66,--,Curtis Weaver,EDGE,Boise State,FBS - Mountain West,Idaho,West,74,265,RJR,DL,Def.,Underclassman,2020-01-18,15
67,--,Davon Hamilton,DL1T,Ohio State,Big Ten,Ohio,Midwest,76,320,SR,DL,Def.,Eligible,2020-01-18,15
68,--,Damien Lewis,OG,LSU,SEC,Louisiana,South,74,327,SR,OL,Off.,Eligible,2020-01-18,15
69,--,Michael Pittman Jr.,WR,USC,Pac 12,California,West,76,223,SR,WR,Off.,Eligible,2020-01-18,15
70,--,Raekwon Davis,DL3T,Alabama,SEC,Alabama,South,78,311,SR,DL,Def.,Eligible,2020-01-18,15
71,--,McTelvin Agim,DL3T,Arkansas,SEC,Arkansas,South,75,309,SR,DL,Def.,Eligible,2020-01-18,10
72,--,Jalen Hurts,QB,Oklahoma,Big 12,Oklahoma,South,74,210,SR,QB,Off.,Eligible,2020-01-18,10
73,--,Tyler Johnson,WR,Minnesota,Big Ten,Minnesota,Midwest,74,200,SR,WR,Off.,Eligible,2020-01-18,10
74,--,Cole Kmet,TE,Notre Dame,FBS - Independent,Indiana,Midwest,78,262,JR,TE,Off.,Underclassman,2020-01-18,10
75,--,Damon Arnette,CB,Ohio State,Big Ten,Ohio,Midwest,72,195,SR,DB,Def.,Eligible,2020-01-18,10
76,--,Julian Okwara,EDGE,Notre Dame,FBS - Independent,Indiana,Midwest,76,252,SR,DL,Def.,Eligible,2020-01-18,10
77,--,Josh Uche,OLB,Michigan,Big Ten,Michigan,Midwest,73,245,RJR,LB,Def.,Underclassman,2020-01-18,10
78,--,Matt Peart,OT,Connecticut,FBS - AAC,Connecticut,Northeast,79,318,RSR,OL,Off.,Eligible,2020-01-18,10
79,--,Cameron Dantzler,CB,Mississippi State,SEC,Mississippi,South,74,188,JR,DB,Def.,Underclassman,2020-01-18,10
80,--,Robert Hunt,OT,Louisiana-Lafayette,FBS - Sun Belt,Louisiana,South,77,323,SR,OL,Off.,Eligible,2020-01-18,10
81,--,Chase Claypool,WR,Notre Dame,FBS - Independent,Indiana,Midwest,76,238,SR,WR,Off.,Eligible,2020-01-18,10
82,--,Troy Pride Jr.,CB,Notre Dame,FBS - Independent,Indiana,Midwest,71,194,SR,DB,Def.,Eligible,2020-01-18,10
83,--,Jordyn Brooks,ILB,Texas Tech,Big 12,Texas,South,72,240,SR,LB,Def.,Eligible,2020-01-18,10
84,--,Zack Moss,RB,Utah,Pac 12,Utah,West,69,223,SR,RB,Off.,Eligible,2020-01-18,10
85,--,Cam Akers,RB,Florida State,ACC,Florida,South,70,217,JR,RB,Off.,Underclassman,2020-01-18,10
86,--,Jeremy Chinn,S,Southern Illinois,FCS,Illinois,Midwest,75,221,SR,DB,Def.,Eligible,2020-01-18,10
87,--,Ashtyn Davis,S,California,Pac 12,California,West,73,202,RSR,DB,Def.,Eligible,2020-01-18,10
88,--,Amik Robertson,CB,Louisiana Tech,FBS - CUSA,Louisiana,South,69,183,JR,DB,Def.,Underclassman,2020-01-18,10
89,--,Ben Bartch,OG,St. John's,D3,Minnesota,Midwest,78,305,SR,OL,Off.,Eligible,2020-01-18,10
90,--,Logan Wilson,ILB,Wyoming,FBS - Mountain West,Wyoming,West,74,241,RSR,LB,Def.,Eligible,2020-01-18,10
91,--,Darrell Taylor,EDGE,Tennessee,SEC,Tennessee,South,76,267,SR,DL,Def.,Eligible,2020-01-18,10
92,--,Davion Taylor,OLB,Colorado,Pac 12,Colorado,West,72,228,SR,LB,Def.,Eligible,2020-01-18,10
93,--,Terrell Burgess,S,Utah,Pac 12,Utah,West,72,194,SR,DB,Def.,Eligible,2020-01-18,10
94,--,Willie Gay Jr.,OLB,Mississippi State,SEC,Mississippi,South,74,243,JR,LB,Def.,Underclassman,2020-01-18,10
95,--,Bryan Edwards,WR,South Carolina,SEC,South Carolina,South,75,215,SR,WR,Off.,Eligible,2020-01-18,10
96,--,Harrison Bryant,TE,Florida Atlantic,FBS - CUSA,Florida,South,77,243,SR,TE,Off.,Eligible,2020-01-18,10
97,--,Jonah Jackson,OG,Ohio State,Big Ten,Ohio,Midwest,76,306,SR,OL,Off.,Eligible,2020-01-18,10
98,--,Clyde Edwards-Helaire,RB,LSU,SEC,Louisiana,South,67,207,JR,RB,Off.,Underclassman,2020-01-18,10
99,--,Jason Strowbridge,DL5T,North Carolina,ACC,North Carolina,South,76,275,SR,DL,Def.,Eligible,2020-01-18,10
100,--,Tyler Biadasz,OC,Wisconsin,Big Ten,Wisconsin,Midwest,76,314,SR,OL,Off.,Eligible,2020-01-18,10
